"number","u_om_type","u_begin_time","u_cleared","calendar_duration","u_end_time","priority","u_notification_source","u_resolution_group","u_resolution_source","u_res_code","u_preventable_type","u_affected_nodes","u_public_or_private","u_search_markets","u_affected_area","short_description","u_affected_services","u_of_total_modems_on_node","u_of_modems_on_line","u_vendor"
"NOC0285091","Outage Other","2020-11-27 16:13:51","2020-11-27 17:50:14","5783","2020-11-27 17:50:14","4 - Low","Call Center","Assurance Access","IP Conflict/Route/Depleted","Resolved","Non Preventable","","Public","Mid Michigan","","Mid Michigan MI-MIDM-DIM-CMTS-1-E6-Low Available IPs","HSD","","",""
"NOC0285111","Outage Node","2020-11-27 20:29:24","2020-11-27 22:13:00","6217","2020-11-27 22:13:00","3 - Moderate","Call Center","PM","Amp","Replace","Non Preventable","IL-NAPE-ELG-EL72","Public","Illinois","","IL-NAPE-ELG-EL72","Business, Voice, Video, HSD","120","109",""
"NOC0285112","Outage Node","2020-11-27 20:35:39","2020-11-27 21:12:08","2189","2020-11-27 21:33:53","3 - Moderate","Alarms","PM","Power Pack","Resolved","Non Preventable","AL-HUNT-HUB-HB020","Public","Huntsville","","AL-HUNT-HUB-HB020","Business, Voice, Video, HSD","77","60",""
"NOC0285185","Outage Node","2020-11-28 22:45:53","2020-11-29 01:24:32","9519","2020-11-29 01:24:32","3 - Moderate","Alarms","PM","Cleared Before/At Arrival","Cleared Before/At Arrival","Non Preventable","IL-NAPE-BIS-CD06, IL-NAPE-BIS-CD08, IL-NAPE-BIS-CD12, IL-NAPE-BIS-CD04","Public","Illinois","","IL-NAPE-BIS-CD06, IL-NAPE-BIS-CD08, IL-NAPE-BIS-CD12, IL-NAPE-BIS-CD04","Voice, Business, HSD","107","85",""
"NOC0284534","Outage Node","2020-11-23 02:25:53","2020-11-23 07:12:44","17212","2020-11-23 07:12:44","3 - Moderate","Alarms","PM","Node Mod","Replace","Non Preventable","OH-CLEV-SEV-GA10","Public","Cleveland","","OH-CLEV-SEV-GA10","Business, Voice, Video, HSD","97","2",""
"NOC0284611","Outage Node","2020-11-23 12:41:31","2020-11-23 13:18:28","7817","2020-11-23 13:18:28","3 - Moderate","Alarms","PM","Cleared Before/At Arrival","Cleared Before/At Arrival","Non Preventable","IN-EVAN-EVV-A013","Public","Evansville","","IN-EVAN-EVV-A013","Business, Voice, Video, HSD","26","5",""
"NOC0284612","Outage Node","2020-11-23 12:43:25","2020-11-23 13:18:11","7641","2020-11-23 13:18:45","3 - Moderate","Alarms","PM","Cleared Before/At Arrival","Cleared Before/At Arrival","Non Preventable","IN-EVAN-EVV-A014","Public","Evansville","","IN-EVAN-EVV-A014","Business, Voice, Video, HSD","54","6",""
"NOC0284624","Outage Node","2020-11-23 13:38:45","2020-11-23 14:17:00","2295","2020-11-23 16:37:24","3 - Moderate","Alarms","PM","Amp","Replace","Non Preventable","MI-TROY-LIV-GC02","Public","Michigan","","MI-TROY-LIV-GC02","Business, Voice, Video, HSD","176","142",""
"NOC0284628","Outage Node","2020-11-23 13:44:53","2020-11-23 15:54:04","7751","2020-11-23 15:54:04","3 - Moderate","Alarms","PM","Amp","Replace","Non Preventable","MD-MILL-MILL-M065","Public","Maryland","","MD-MILL-MILL-M065","Business, Voice, Video, HSD","48","35",""
"NOC0284631","Outage Node","2020-11-23 14:00:35","2020-11-23 14:52:44","3129","2020-11-23 16:47:41","3 - Moderate","Alarms","PM","Amp","Replace","Non Preventable","FL-PINE-HUD-DT020","Public","Pinellas","","FL-PINE-HUD-DT020","Business, Voice, Video, HSD","60","9",""
"NOC0284635","Outage Node","2020-11-23 14:08:33","2020-11-23 14:55:47","2835","2020-11-23 14:55:47","3 - Moderate","Call Center","PM","Pad/Equalizer","Replace","Non Preventable","OH-CLEV-SEV-GA10","Public","Cleveland","","OH-CLEV-SEV-GA10","Business, Voice, Video, HSD","97","89",""
"NOC0284650","Outage Node","2020-11-23 14:59:06","2020-11-23 17:58:49","10783","2020-11-23 18:00:06","3 - Moderate","Alarms","PM","Return Path Transmitter","Resolved","Non Preventable","IN-EVAN-EVV-A183, IN-EVAN-EVV-A184","Public","Evansville","","IN-EVAN-EVV-A183, IN-EVAN-EVV-A184","Voice, Business, HSD","256","138",""
"NOC0284653","Outage Node","2020-11-23 15:08:05","2020-11-23 17:35:11","8827","2020-11-23 17:35:11","3 - Moderate","Alarms","PM","Chargeable 3rd Party","Hardware Replaced","Non Preventable","OH-COLM-WVL-WE35","Public","Columbus, Oh","","OH-COLM-WVL-WE35","Business, Voice, Video, HSD","146","124",""
"NOC0284655","Outage Node","2020-11-23 15:15:18","2020-11-23 16:20:29","3911","2020-11-23 16:20:29","3 - Moderate","Call Center","PM","Real Time Maintenance","Maintenance Complete","Non Preventable","AL-MONT-HUC-MC004","Public","Montgomery","","AL-MONT-HUC-MC004","Business, Voice, Video, HSD","47","40",""
"NOC0284669","Outage Node","2020-11-23 17:06:28","2020-11-23 17:42:40","2172","2020-11-23 17:42:40","3 - Moderate","Alarms","PM","SNR","SNR - Active","Non Preventable","MD-MILL-MILL-M030","Public","Maryland","","MD-MILL-MILL-M030","Business, Voice, Video, HSD","25","12",""
"NOC0284610","Outage Node","2020-11-23 12:28:15","2020-11-23 14:10:15","6120","2020-11-23 15:52:11","3 - Moderate","Other","PM","Tap/Housing","Replace","Non Preventable","MI-MIDM-DIM-POR01","Public","Mid Michigan","","MI-MIDM-DIM-POR01","Business, Voice, Video, HSD","234","216",""
"NOC0284606","Outage Node","2020-11-23 12:22:18","2020-11-23 12:58:25","2168","2020-11-23 12:58:25","3 - Moderate","Alarms","PM","Amp","Replace","Non Preventable","OH-COLM-REY-FF66","Public","Columbus, Oh","","OH-COLM-REY-FF66","Business, Voice, Video, HSD","67","39",""
"NOC0284543","Outage Node","2020-11-23 07:13:36","2020-11-23 07:36:56","1400","2020-11-23 10:11:12","3 - Moderate","Alarms","PM","Cleared Before/At Arrival","Cleared Before/At Arrival","Non Preventable","IL-NAPE-BIS-CD08, IL-NAPE-BIS-CD06, IL-NAPE-BIS-CD04, IL-NAPE-BIS-CD12","Public","Illinois","","IL-NAPE-BIS-CD08, IL-NAPE-BIS-CD06, IL-NAPE-BIS-CD04, IL-NAPE-BIS-CD12","Voice, Business, HSD","0","0",""
"NOC0284548","Outage Other","2020-11-23 08:25:28","2020-11-23 09:27:54","3746","2020-11-23 09:27:54","3 - Moderate","Other","Assurance Video","IPTV encoder","Reset","Non Preventable","","Public","Panama City, Pinellas, Cleveland, Illinois, Columbus, Oh, Michigan, Mid Michigan, Evansville, Knoxville","","Single Channel Outage for IPTV+ Only - Station Cheddar(Channel 311) - All IPTV+ Markets","Video","","",""
"NOC0284552","Outage Node","2020-11-23 08:55:06","2020-11-23 09:20:08","1502","2020-11-23 11:21:11","3 - Moderate","Other","PM","Balanced Active","Resolved","Non Preventable","IL-NAPE-NSO-NA2H","Public","Illinois","","IL-NAPE-NSO-NA2H","Business, Voice, Video, HSD","128","119",""
"NOC0284553","Outage Node","2020-11-23 08:58:10","2020-11-23 10:12:46","4476","2020-11-23 10:12:46","3 - Moderate","Alarms","PM","Amp","Replace","Non Preventable","GA-WSPT-HUH-WH11A","Public","Valley","","GA-WSPT-HUH-WH11A","Business, Voice, Video, HSD","62","48",""
"NOC0284561","Outage Node","2020-11-23 09:25:31","2020-11-23 09:54:54","1867","2020-11-23 14:16:20","3 - Moderate","Alarms","PM","Commercial Power-Node","Power Restored","Non Preventable","AL-MONT-HUG-MG026","Public","Montgomery","","AL-MONT-HUG-MG026","Business, Voice, Video, HSD","16","0",""
"NOC0284560","Outage Node","2020-11-23 09:22:42","2020-11-23 10:04:28","2508","2020-11-23 10:04:28","3 - Moderate","Alarms","PM","Cleared Before/At Arrival","Cleared Before/At Arrival","Non Preventable","OH-COLM-IND-CR20","Public","Columbus, Oh","","OH-COLM-IND-CR20","Business, Voice, Video, HSD","56","5",""
"NOC0284567","Outage Node","2020-11-23 09:32:11","2020-11-23 11:43:13","7863","2020-11-23 11:43:13","3 - Moderate","Alarms","PM","Commercial Power-Node","Cleared Before/At Arrival","Non Preventable","OH-COLM-IND-CR19","Public","Columbus, Oh","","OH-COLM-IND-CR19","Business, Voice, Video, HSD","59","12",""
