"number","u_om_type","u_begin_time","u_cleared","calendar_duration","u_end_time","priority","u_notification_source","u_resolution_group","u_resolution_source","u_res_code","u_preventable_type","u_affected_nodes","u_public_or_private","u_search_markets","u_affected_area","short_description","u_affected_services","u_of_total_modems_on_node","u_of_modems_on_line","u_vendor"
"NOC0284675","Outage Other","2020-11-23 17:19:37","2020-11-24 12:30:39","70133","2020-11-24 12:59:37","3 - Moderate","Other","App Dev","Website","Resolved","Non Preventable","","Public","Charleston, Maryland, Auburn, Panama City, Pinellas, Cleveland, Montgomery, Valley, Huntsville, Illinois, Columbus, Oh, Augusta, Michigan, Dothan, Mid Michigan, Columbus, GA, Newnan, Evansville, Knoxville","","Customers unable to access Activate.wowway.com on their Wow network ","WOW TV +","","",""
"NOC0284678","Outage Node","2020-11-23 17:36:15","2020-11-23 18:49:27","4392","2020-11-23 18:49:27","3 - Moderate","Alarms","PM","Breaker ","Reset","Non Preventable","OH-COLM-REY-FF40","Public","Columbus, Oh","","OH-COLM-REY-FF40","Business, Voice, Video, HSD","193","1",""
"NOC0284688","Outage Node","2020-11-23 21:17:47","2020-11-23 22:50:11","5545","2020-11-23 22:50:11","3 - Moderate","Alarms","PM","Amp","Replace","Non Preventable","FL-PINE-HUA-AW024, FL-PINE-HUA-AW025, FL-PINE-HUA-AW026, FL-PINE-HUA-AW039, FL-PINE-HUA-AZ002, FL-PINE-HUA-AZ011, FL-PINE-HUA-AZ059, FL-PINE-HUA-AZ066","Public","Pinellas","","FL-PINE-HUA-AW024, FL-PINE-HUA-AW025, FL-PINE-HUA-AW026, FL-PINE-HUA-AW039, FL-PINE-HUA-AZ002, FL-PINE-HUA-AZ011, FL-PINE-HUA-AZ059, FL-PINE-HUA-AZ066","Voice, Business, HSD","93","54",""
"NOC0284690","Outage Node","2020-11-23 22:55:15","2020-11-24 00:13:11","4676","2020-11-24 00:21:30","3 - Moderate","Alarms","PM","Cleared Before/At Arrival","Cleared Before/At Arrival","Non Preventable","OH-COLM-GRC-GV33","Public","Columbus, Oh","","OH-COLM-GRC-GV33","Business, Voice, Video, HSD","103","3",""
"NOC0284692","Outage Node","2020-11-24 00:53:22","2020-11-24 07:30:18","23817","2020-11-24 07:30:18","3 - Moderate","Alarms","PM","Coax Main Line (main cut)","Temporary Workaround","Non Preventable","MI-TROY-CEN-WR82","Public","Michigan","","MI-TROY-CEN-WR82","Business, Voice, Video, HSD","77","53",""
"NOC0284694","Outage Node","2020-11-24 01:19:23","2020-11-24 01:45:58","1595","2020-11-24 07:10:51","3 - Moderate","Alarms","PM","SNR","SNR - Coax","Non Preventable","MI-TROY-TRY-BR03, MI-TROY-TRY-BR07, MI-TROY-TRY-BR10","Public","Michigan","","MI-TROY-TRY-BR03, MI-TROY-TRY-BR07, MI-TROY-TRY-BR10","Voice, Business, HSD","59","59",""
"NOC0284706","Outage Node","2020-11-24 06:55:18","2020-11-24 07:28:55","2017","2020-11-24 12:10:07","3 - Moderate","Alarms","PM","Amp","Replace","Non Preventable","OH-CLEV-BER-AL25","Public","Cleveland","","OH-CLEV-BER-AL25","Business, Voice, Video, HSD","105","87",""
"NOC0284715","Outage Node","2020-11-24 08:40:17","2020-11-24 08:50:00","957","2020-11-24 08:56:13","3 - Moderate","Alarms","PM","Cleared Before/At Arrival","Cleared Before/At Arrival","Non Preventable","MI-MIDM-DIM-STO01","Public","Mid Michigan","","MI-MIDM-DIM-STO01","Business, Voice, Video, HSD","350","294",""
"NOC0284717","Outage Node","2020-11-24 09:00:21","2020-11-24 09:48:01","2860","2020-11-24 09:48:01","3 - Moderate","Alarms","PM","Power Inserter","Replace","Non Preventable","FL-PINE-HUA-AZ012","Public","Pinellas","","FL-PINE-HUA-AZ012","Business, Voice, Video, HSD","15","0",""
"NOC0284733","Outage Node","2020-11-24 09:45:48","2020-11-24 10:48:58","3790","2020-11-24 10:48:58","3 - Moderate","Other","PM","Cleared Before/At Arrival","Cleared Before/At Arrival","Non Preventable","IL-NAPE-PUL-CU51","Public","Illinois","","IL-NAPE-PUL-CU51","Business, Voice, Video, HSD","44","39",""
"NOC0284860","Outage Node","2020-11-25 08:39:30","2020-11-25 09:32:43","3194","2020-11-25 09:32:43","3 - Moderate","Alarms","PM","Real Time Maintenance","Maintenance Complete","Non Preventable","OH-CLEV-NRO-NT26","Public","Cleveland","","OH-CLEV-NRO-NT26","Business, Voice, Video, HSD","108","0",""
